Time,proton_density,proton_bulk_speed,proton_thermal,alpha_density,alpha_bulk_speed,alpha_thermal,proton_xvelocity,proton_yvelocity,proton_zvelocity,spacecraft_xpos,spacecraft_ypos,spacecraft_zpos,composite_flux_th1,composite_flux_th2,composite_flux,alpha_proton_ratio,velocity_magnitude
2025-07-02 00:00:25.832,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,8.70349643275381,-5.740728236130032,1275600.963395247,227964.0485487923,-98916.80347312224,3110851.8230095822,23600000.0,26710851.82300958,1.0,1e+31
2025-07-02 00:00:30.832,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,5.90281481442997,-5.191959924180388,1275600.957178348,227965.4294599011,-98916.71199178242,1335644.1436475003,900000.0000000009,2235644.1436475012,1.0,1e+31
2025-07-02 00:00:35.832,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,5.346910810674931,-12.018241553188908,1275600.9509615125,227966.810424444,-98916.62050622638,4070599.880842925,2833333.333333334,6903933.214176259,1.0,1e+31
2025-07-02 00:00:40.832,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,7.9539515616862,-13.782070260638577,1275600.9447452156,227968.19133198596,-98916.52902377112,4019692.205468201,0.0,4019692.205468201,1.0,1e+31
2025-07-02 00:00:45.832,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,4.652875811851349,-4.075504022159279,1275600.938529136,227969.5722377667,-98916.4375407328,2862157.439102281,566666.666666667,3428824.105768948,1.0,1e+31
2025-07-02 00:00:50.832,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,8.242159128700884,-9.23656576706938,1275600.9323132937,227970.9531693945,-98916.34605535348,4798268.626033427,2633333.333333333,7431601.95936676,1.0,1e+31
2025-07-02 00:00:55.832,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,9.901497324111514,-18.638395310455483,1275600.926097934,227972.33404399507,-98916.25457301718,1966058.5311626345,0.0,1966058.5311626345,1.0,1e+31
2025-07-02 00:01:00.832,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,6.484746270771517,-4.778504346089271,1275600.9198826195,227973.71497208808,-98916.16308647994,1947442.2276492056,1283333.333333334,3230775.5609825393,1.0,1e+31
2025-07-02 00:01:05.832,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,3.8794340202911712,-15.219083672106343,1275600.9136675657,227975.0958983859,-98916.07159939715,3901383.519877588,3766666.666666668,7668050.186544256,1.0,1e+31
2025-07-02 00:01:10.832,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,7.971088045993525,-22.45330860035202,1275600.9074530452,227976.47679524776,-98915.98011359724,9650344.57601736,0.0,9650344.57601736,1.0,1e+31
